episode,reward,steps,completed_lap,collisions,epsilon
431,3077.053266735085,704,1,7,0.27391337074507993
432,4036.2150518417543,920,1,10,0.2730916306328447
433,8131.164821529325,2220,1,32,0.27227235574094616
434,5118.086394977564,1305,1,17,0.2714555386737233
435,3233.615569591532,720,1,5,0.2706411720577021
436,3792.1735416221727,936,1,11,0.269829248541529
437,4093.4348683548096,1004,1,14,0.2690197607959044
438,6430.110152511572,1711,1,27,0.26821270151351667
439,3446.951621704108,791,1,10,0.2674080634089761
440,2871.3261551570968,644,1,5,0.2666058392187492
441,3301.315223197949,751,1,8,0.26580602170109296
442,2672.237120552069,574,1,4,0.26500860363598966
443,3488.576207008366,828,1,9,0.2642135778250817
444,3148.837618751536,709,1,8,0.26342093709160647
445,3225.416250619899,727,1,7,0.26263067428033166
446,3594.8635960579027,905,1,11,0.26184278225749064
447,4255.9325296402085,1045,1,11,0.26105725391071816
448,3344.8832698309525,768,1,7,0.260274082148986
449,4008.7583495712374,982,1,13,0.2594932599025391
450,3193.875780725489,720,1,7,0.25871478012283144
451,3426.3797496795783,825,1,9,0.25793863578246295
452,3071.752711906445,718,1,7,0.2571648198751156
453,3508.7569014072556,785,1,8,0.25639332541549026
454,3563.695505962384,857,1,10,0.2556241454392438
455,5587.967480707162,1400,1,20,0.25485727300292604
456,8623.991853871263,2253,1,32,0.25409270118391725
457,6054.709827842686,1563,1,20,0.2533304230803655
458,2983.428392219555,670,1,7,0.25257043181112443
459,3751.881624488845,856,1,7,0.25181272051569104
460,3218.568279609691,682,1,6,0.251057282354144
461,3033.0727646637006,681,1,5,0.25030411050708157
462,3712.0717811966106,903,1,9,0.24955319817556032
463,3298.921462383277,713,1,7,0.24880453858103363
464,2942.157133846289,691,1,6,0.24805812496529053
465,3077.46090545655,680,1,6,0.24731395059039465
466,3456.454183902751,758,1,8,0.24657200873862348
467,3912.200829505936,920,1,8,0.2458322927124076
468,5025.5496852111855,1219,1,14,0.24509479583427038
469,2777.323262329109,599,1,4,0.24435951144676757
470,3358.430550155649,747,1,8,0.24362643291242728
471,5730.675608940114,1349,1,18,0.24289555361369
472,7133.5135379218655,1733,1,25,0.24216686695284892
473,3125.065342178359,708,1,7,0.24144036635199037
