episode,reward,steps,laps,collisions,speed
487,3456.554765014658,751,1,9,80.64963168506766
488,2930.2544471740803,665,1,6,65.83593669121393
489,4189.73685424806,1001,1,14,77.8013659474847
490,4656.1847119140775,1146,1,15,0.0
491,4362.107224168789,1023,1,12,35.30361149929068
492,4085.4848196220564,994,1,12,71.24712009573925
493,3819.3678051758025,1036,1,14,48.41978456572492
494,3183.191533515462,687,1,7,47.93690318555561
495,3720.699793701184,826,1,10,57.93578352015461
496,2607.7696629768852,528,1,4,38.0285330286122
497,3731.2923053836944,897,1,10,37.87975439263923
498,4048.3372638642973,1000,1,14,38.14047385136299
499,2796.663425903327,641,1,6,44.97075696552857
500,4318.545878372208,1062,1,16,69.22606037137847
501,2971.944038047797,703,1,7,67.48910823548589
502,2783.405356445319,603,1,6,39.84191618190189
503,4006.0799404144477,975,1,12,69.06255488532966
504,2781.528945312509,607,1,5,74.02798389635124
505,4334.212143964785,1069,1,14,39.537721263894845
506,2631.1327416992226,547,1,4,50.58259866253582
507,3450.521064682016,799,1,10,47.059875430802876
508,3749.0627733993642,881,1,9,38.86967343368822
509,3562.3862948990013,832,1,10,66.20644560188873
510,2971.76099025727,664,1,8,51.872366837698436
511,2730.3320504951525,551,1,6,67.91080914552823
512,2609.664184570317,485,1,4,41.66171299070218
513,2975.5743329238962,654,1,8,66.97266159439033
514,3139.5032946014508,733,1,9,51.25680334063969
515,4410.557043418902,1072,1,14,50.125658543970985
516,5362.676853677014,1318,1,17,52.31993850401289
517,5440.6885218048055,1388,1,20,52.096013476978555
518,9785.902992896918,2471,1,43,58.28967679264799
519,3014.0844234848105,663,1,7,64.63438877346655
520,4024.3040092849933,938,1,12,63.959465868017396
521,3103.4950712585555,713,1,9,71.26419325844402
522,3042.034328651441,630,1,7,70.59152485954745
523,3456.404029884347,773,1,8,62.743676736344064
524,3293.5980220604056,796,1,9,51.803144141068024
525,2822.474367675789,592,1,8,54.75683612560992
526,3052.769559907923,610,1,5,55.14763700012434
527,3399.101275444042,795,1,9,68.44309273992079
528,2678.2390272903467,566,1,5,71.2450993538087
529,4224.259800567644,983,1,12,71.19348553619992
530,3667.2523173332306,855,1,10,51.50005186524418
531,3936.999409828199,912,1,12,74.25640724991791
532,2514.9680590820335,444,1,2,53.74054809822194
533,2921.3674568748534,672,1,7,42.40879754910756
534,3122.9366123199525,695,1,7,47.07349556796504
535,2505.6729315185567,438,1,3,80.57191832937923
536,2775.970861015327,542,1,4,52.964339049149736
537,2480.854376258857,468,1,3,68.92352433544097
538,3204.452743225111,751,1,9,58.0399672436646
539,3353.2071709823713,729,1,8,41.8236276059295
540,2889.3262207412777,588,1,4,72.90257064112151
541,4201.562028312699,1000,1,13,56.50615529528675
542,2744.7201525878977,554,1,4,59.90481773276581
543,2689.738801231392,548,1,5,54.784710376832834
544,2644.130010757451,562,1,4,67.23576742968424
545,3980.2044943046685,874,1,12,66.46896872446221
546,3009.4650737381057,612,1,4,67.18131921545357
547,3015.627466583261,640,1,6,58.09344267042931
548,3616.801189537063,804,1,9,68.26051646712952
549,4354.206051673904,1038,1,15,62.94613048889736
550,3335.859271249782,697,1,8,55.20215855598132
551,3214.6610098648166,706,1,8,76.10846529123462
552,4337.433677978525,1009,1,14,56.68827599320837
553,3391.532456283583,771,1,10,56.68827599320837
554,5084.225546392796,1210,1,16,55.22207364923362
555,2661.985747003559,575,1,5,58.959274435817825
556,3232.7035007619957,673,1,8,53.48460545107158
557,3352.066969604503,794,1,8,49.173253027643945
558,2950.960807218559,643,1,5,59.26387028418678
559,3018.280398445135,641,1,7,53.359753038998896
560,2993.353129272469,591,1,5,55.50028505033736
561,3217.6162218475415,743,1,9,61.825306412433434
